"English.title","Runtime","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Avengers: Age of Ultron",141,250000000,7.262,164573,7.40578,578775
"Spectre",148,245000000,6.548,78999,6.80334,334355
"The Good Dinosaur",93,200000000,7.103,27607,6.7084,84973
"Furious Seven",137,190000000,7.026,109798,7.20324,324436
"Tomorrowland",130,190000000,6.233,57613,6.40157,157903
"Jupiter Ascending",127,176000000,5.61,69575,5.30158,158289
"Inside Out",95,175000000,8.005,175984,8.20483,483873
"The Hunger Games: Mockingjay - Part 2",137,160000000,6.534,81583,6.50229,229926
"Terminator Genisys",126,155000000,6.486,88591,6.50221,221746
"Mad Max: Fury Road",120,150000000,7.813,205450,8.10714,714282
"Mission: Impossible - Rogue Nation",131,150000000,7.071,74057,7.40291,291065
"Jurassic World",125,150000000,6.856,117126,7.00509,509499
"Pan",111,150000000,6.172,19308,5.8052,52669
"The Revenant",156,135000000,7.813,199964,8.00561,561549
"Home",93,135000000,7.307,48522,6.6083,83854
"Ant-Man",117,130000000,7.089,119129,7.30461,461475
"Fantastic Four",100,120000000,4.278,43082,4.30132,132594
"San Andreas",114,110000000,6.219,59604,6.10184,184518
"Insurgent",119,110000000,6.08,73463,6.20187,187266
"The Martian",144,108000000,7.675,208874,8.00634,634747
"Point Break",114,105000000,6.714,39435,5.3052,52451
"In the Heart of the Sea",122,100000000,7.232,58592,6.90101,101835
"The Peanuts Movie",88,99000000,6.496,3096,7.1037,37051
"Cinderella",105,95000000,7.085,52026,6.90137,137517
"The Last Witch Hunter",106,90000000,6.068,47005,6.0082,82681
"Alvin and the Chipmunks: The Road Chip",92,90000000,5.803,5665,5.1012,12952
"Pixels",106,88000000,5.841,43324,5.60111,111692
"Le Petit Prince",108,81200000,7.915,35317,7.7048,48944
"Kingsman: The Secret Service",130,81000000,7.626,196530,7.7052,520558
"Hotel Transylvania 2",89,80000000,7.189,50509,6.7086,86457
"The Man from U.N.C.L.E.",116,75000000,7.544,153507,7.30222,222423
"Minions",91,74000000,6.19,70313,6.40182,182199
"The SpongeBob Movie: Sponge Out of Water",80,74000000,5.525,17296,6.0041,41510
"Blackhat",133,70000000,5.413,15672,5.4046,46535
"Ted 2",115,68000000,5.914,52658,6.30148,148048
"Spy",119,65000000,7.103,100446,7.00205,205736
"Tian jiang xiong shi",122,65000000,6.611,4943,6.1015,15225
"Maze Runner: The Scorch Trials",131,61000000,6.14,69897,6.30176,176363
"Joy",124,60000000,6.672,40295,6.60114,114190
"Mortdecai",107,60000000,5.752,24935,5.5056,56959
"London Has Fallen",100,60000000,5.741,25865,5.90114,114082
"Goosebumps",103,58000000,6.169,24611,6.3064,64612
"Zhuo yao ji",117,56000000,6.087,1710,6.103,3922
"Everest",121,55000000,7.178,92357,7.10177,177732
"Crimson Peak",120,55000000,6.628,79730,6.50111,111748
"Black Mass",123,53000000,6.587,47318,6.90148,148867
"13 Hours",144,50000000,6.61,14088,7.309,90554
"Run All Night",114,50000000,6.551,21351,6.6089,89226
"Daddy's Home",96,50000000,6.328,28591,6.1081,81719
"Chappie",120,49000000,7.186,114575,6.80208,208518
