Region;population_2017
Adygey;454
Altay;218
Amur;798
Arkhangel'sk;1155
Astrakhan';1017
Bashkortostan;4063
Belgorod;1550
Bryansk;1211
Buryat;985
Chechnya;1437
Chelyabinsk;3493
Chukot;50
Chuvash;1231
City of St. Petersburg;5352
Dagestan;3064
Gorno-Altay;2350
Ingush;488
Irkutsk;2404
Ivanovo;1015
Kabardin-Balkar;865
Kaliningrad;995
Kalmyk;275
Kaluga;1012
Kamchatka;316
Karachay-Cherkess;466
Karelia;622
Kemerovo;2695
Khabarovsk;1328
Khakass;538
Khanty-Mansiy;1655
Kirov;1283
Komi;841
Kostroma;643
Krasnodar;5603
Krasnoyarsk;2876
Kurgan;846
Kursk;1115
Leningrad;1814
Lipetsk;1150
Maga Buryatdan;144
Mariy-El;682
Mordovia;805
Moscow City;12507
Moskva;7503
Murmansk;754
Nenets;44
Nizhegorod;3235
North Ossetia;702
Novgorod;606
Novosibirsk;2789
Omsk;1960
Orel;747
Orenburg;1978
Penza;1332
Perm';2623
Primor'ye;1913
Pskov;636
Rostov;4221
Ryazan';1122
Sakha;964
Sakhalin;490
Samara;3193
Saratov;2463
Smolensk;950
Stavropol';2801
Sverdlovsk;4325
Tambov;1033
Tatarstan;3895
Tomsk;1078
Tula;1492
Tuva;322
Tver';1284
Tyumen';3692
Udmurt;1513
Ul'yanovsk;1247
Vladimir;1378
Volgograd;2521
Vologda;1177
Voronezh;2333
Yamal-Nenets;538
Yaroslavl';1266
Yevrey;162
Zabaykal'ye;1073
